zone,nov. 2016,déc. 2016,jan. 2017,fév. 2017,mars 2017,avr. 2017,mai 2017,juin 2017,juil. 2017,août 2017,sept. 2017,oct. 2017,nov. 2017,déc. 2017,jan. 2018,fév. 2018,mars 2018
Sud-Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bretagne Sud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bretagne Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bretagne Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotentin Ouest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nord de la Seine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manche Est,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mer du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
